ID_ROK;ID_SUBKATEGORIA;ID_KATEGORIA;Druh kriminality;Zistené;Objasnené; t.j. %;Spôsob. škoda;Dodatoč. objasnené;Vplyv alkoholu;Vplyv drog;Maloletý páchateľ;Mladistvý páchateľ;Celkom osôb;Počet malolet.;Počet mladist.;Vplyv alkoholu;Vplyv drog
24;;1;NÁSILNÁ  KRIMINALITA                    ; 4 575; 3 390;  74; 5 470;  348; 1 404;  30;  44;  216; 3 881;  57;  251; 1 384;  26
24;1;1;vraždy                                  ;  55;  42;  76;  ;  15;  11;  ;  1;  4;  62;  1;  4;  10;  
24;2;1;lúpeže                                  ;  289;  221;  76;  595;  19;  49;  3;  12;  44;  344;  17;  63;  54;  3
24;3;1;násilie na verej.činit.                 ;  233;  202;  87;  78;  14;  107;  5;  ;  6;  205;  ;  8;  100;  4
24;4;1;      - z toho na policajtovi           ;  180;  164;  91;  3;  7;  90;  4;  ;  6;  163;  ;  8;  83;  4
24;5;1;úmyslené ublíženie na zdraví            ; 1 131;  782;  69;  5;  148;  277;  4;  12;  78; 1 029;  11;  88;  295;  4
24;6;1;s rasovým mot.,extrémizmus              ;  78;  30;  38;  ;  32;  4;  ;  ;  1;  63;  ;  3;  4;  
24;7;1;organizovaný zločin                     ;  35;  23;  66; 7 699;  16;  ;  ;  1;  1;  166;  1;  1;  ;  
24;;2;MRAVNOSTNÁ  KRIMINALITA                 ;  970;  600;  62;  2;  161;  49;  3;  67;  271;  739;  68;  271;  56;  2
24;8;2;znásilnenie                             ;  93;  61;  66;  ;  8;  17;  1;  1;  12;  66;  1;  10;  20;  
24;9;2;pohlavné zneužívanie                    ;  422;  314;  74;  ;  48;  11;  ;  25;  177;  361;  24;  186;  11;  
24;10;2;obchodovanie s ľuďmi                    ;  17;  5;  29;  ;  10;  ;  ;  1;  2;  31;  1;  2;  ;  
24;;3;MAJETKOVÁ  KRIMINALITA                  ; 16 535; 7 568;  46; 30 251;  643;  827;  13;  508;  917; 8 314;  641;  982;  780;  10
24;11;3;krádeže vlámaním                        ; 3 247; 1 043;  32; 8 156;  176;  133;  4;  69;  214; 1 405;  126;  260;  129;  3
24;12;3;   - škoda značná a vyššia              ;  42;  10;  24; 3 446;  4;  ;  ;  ;  ;  21;  ;  ;  ;  
24;13;3;   - do obchodov a výkl.skríň           ;  334;  129;  39; 1 074;  25;  29;  1;  3;  24;  172;  6;  36;  35;  
24;14;3;       - škoda značná a vyššia          ;  6;  1;  17;  508;  2;  ;  ;  ;  ;  4;  ;  ;  ;  
24;15;3;   - do reštaurácií a stánkov           ;  188;  58;  31;  210;  11;  11;  ;  3;  13;  67;  6;  14;  11;  
24;16;3;       - škoda značná a vyššia          ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  
24;17;3;   - do bytov                           ;  534;  235;  44; 2 162;  31;  33;  2;  17;  44;  326;  32;  51;  32;  2
24;18;3;       - škoda značná a vyššia          ;  14;  4;  29; 1 228;  ;  ;  ;  ;  ;  7;  ;  ;  ;  
24;19;3;   - do rekreačných chát                ;  227;  73;  32;  356;  17;  7;  ;  2;  11;  65;  2;  10;  4;  
24;20;3;       - škoda značná a vyššia          ;  2;  ;  ;  173;  ;  ;  ;  ;  ;  ;  ;  ;  ;  
24;21;3;krádeže ostatné                         ; 9 799; 5 288;  54; 18 174;  371;  494;  5;  321;  560; 5 507;  340;  558;  456;  3
24;22;3;   - motorových vozidiel                ;  803;  438;  55; 4 355;  43;  71;  ;  9;  126;  451;  9;  126;  49;  
24;23;3;   - vecí a súčiastok z áut             ; 1 474;  224;  15; 2 371;  45;  6;  1;  8;  22;  253;  10;  27;  7;  
24;24;3;   - v bytoch                           ;  449;  220;  49; 1 583;  26;  14;  ;  1;  25;  236;  1;  25;  13;  
24;25;3;ostatné majetkové                       ; 3 489; 1 237;  35; 3 920;  96;  200;  4;  118;  143; 1 402;  175;  164;  195;  4
24;;4;OSTATNÁ  KRIMINALITA                    ; 6 125; 4 734;  77; 8 848;  456;  634;  92;  39;  180; 5 359;  54;  200;  469;  86
24;26;4;výtržníctvo                             ;  667;  529;  79;  12;  44;  201;  1;  20;  83;  719;  31;  109;  237;  1
24;27;4;požiare a výbuchy                       ;  366;  81;  22; 8 625;  18;  19;  1;  11;  6;  95;  14;  9;  16;  1
24;28;4;drogy                                   ; 1 806; 1 316;  73;  ;  218;  41;  78;  2;  51; 1 534;  2;  51;  35;  76
24;29;4;    - omamné,psychotrop.látky           ;  818;  606;  74;  ;  127;  10;  34;  ;  19;  773;  ;  20;  9;  33
24;30;4;    - šírenie toxikománie               ;  28;  20;  71;  ;  3;  ;  ;  1;  5;  20;  1;  5;  ;  
24;31;4;nedovolené ozbrojovanie                 ;  298;  164;  55;  19;  60;  6;  1;  1;  2;  198;  1;  1;  4;  1
